年 year
改组 reorganization
改组 reshuffle
屏东 pingtung
先进 advanced
顺序 order
顺序 sequence
护照 passports
护照 passport
底特律 detroit
罪行 crimes
川崎 kawasaki
传送 transmission
岚 arashi
岚 lan
条款 clause
条款 terms
管道 conduit
管道 pipeline
管道 pipes
管道 pipe
管道 piping
管道 plumbing
路径 pathway
路径 path
路径 pathways
路径 paths
逻辑 logical
逻辑 logic
被杀 killed
宗教信仰 religion
新潟 niigata
墓地 cemetery
墓地 graveyard
看台 stands
范 van
范 phạm
范 fan
宫崎 miyazaki
终身 lifetime
鲉 scorpionfish
变形 deformed
变形 transformation
变形 transform
变形 deformation
欢乐 joy
笛 flute
海报 poster
海报 posters
心脏 heart
受害者 victims
受害者 victim
否认 deny
否认 denial
否认 denying
公正 impartiality
公正 fairness
珍妮 jenny
驱逐 expulsion
驱逐 deportation
驱逐 evictions
驱逐 eviction
较低 lower
鸟类 birds
携带 carry
携带 carrying
虚拟 virtual
电机 motor
图案 pattern
童军 scout
童军 scouts
昆虫 insects
昆虫 insect
摔角 wrestling
部件 widget
部件 parts
运动场 playground
运动场 stadium
卡洛斯 carlos
男友 boyfriend
许可 permit
许可 licence
许可 permission
卡片 cards
卡片 card
陕西 shaanxi
欧元 eur
欧元 euros
欧元 €
欧元 euro
集体 collective
集体 collectivity
胎 tire
近似 approximation
近似 approximate
近似 proximate
人名 names
热门 popular
热门 top
热门 trending
崛起 rise
中队 squadron
分手 breakup
货运 cargo
货运 shipment
货运 freight
水泥 concrete
水泥 cement
平壤 pyongyang
队友 mate
队友 teammate
队友 teammates
同位素 isotopes
同位素 isotope
教皇 pope
大使馆 embassies
大使馆 embassy
嘉义市 chiayi
初始 initial
财产 property
始终 always
支配 domination
支配 dominance
优先 priority
米勒 miller
碎片 fragments
碎片 debris
碎片 splinter
怪兽 beast
怪兽 monster
怒 anger
怒 angry
怒 wrath
怒 rage
密集 intensive
密集 dense
密集 intense
缺陷 flaw
缺陷 flaws
缺陷 defect
缺陷 deficiencies
缺陷 defects
流星 meteor
对称 symmetric
对称 symmetrical
对称 symmetry
电讯 telecom
电讯 telecommunications
电讯 telecommunication
戏院 theatres
戏院 theater
戏院 theatre
戏院 cinema
加密 encryption
加密 encrypt
加密 cryptography
加密 encrypted
海盗 pirate
流程 flow
关东 kanto
武术 martial
武术 wushu
委内瑞拉 venezuela
已故 deceased
长野 nagano
星球 planet
谜 mystery
谜 puzzle
谜 enigma
镇压 repression
镇压 repressive
镇压 crackdown
镇压 suppression
苗族 hmong
苗族 miao
伊斯兰教 islam
后备 backup
据点 stronghold
男爵 baron
长者 elders
长者 elderly
保证 guaranteed
保证 guarantee
航海 sailing
航海 nautical
师团 divisions
监视 surveillance
奈良 nara
有线 wired
有线 cable
梵 van
梵 brahma
发射器 launcher
发射器 transmitter
发射器 launchers
扩建 expansion
末端 ends
痛苦 suffering
痛苦 pain
助攻 assists
数值 values
数值 numeric
数值 value
月亮 moon
司机 chauffeur
司机 driver
灭亡 perish
叛乱 insurgency
叛乱 revolt
叛乱 mutiny
叛乱 rebellion
梅尔 mel
碰撞 collision
碰撞 collide
碰撞 clash
碰撞 collisions
签 sign
契约 compact
契约 deed
契约 compacts
阶级 class
圆形 circle
圆形 circular
帐号 account
共计 total
共计 totals
丘陵 hills
学科 disciplines
推测 speculation
后面 behind
芹 cần
巴林 bahrain
个体 individual
毛利 maori
毛利 mori
驳回 dismiss
动态 feed
动态 story
动态 dynamic
动态 stories
动态 activity
动态 dynamics
晋升 promotions
晋升 promotion
大气 atmosphere
大气 atmospheric
释出 release
预期 expectation
预期 expectations
预期 expected
预期 anticipated
流感 influenza
流感 flu
剧院 theatres
剧院 theater
剧院 theatre
费城 philadelphia
邹 zou
邹 chow
人格 persona
人格 personalities
人格 personality
疯狂 insane
疯狂 crazy
疯狂 madness
绰号 nickname
绰号 nicknames
幽默 humor
幽默 humour
实体 entities
实体 entity
异常 abnormal
异常 unusual
异常 anomalies
每一个 every
口号 slogans
口号 slogan
翻新 refurbishment
翻新 refurbished
翻新 renovated
翻新 renovation
维也纳 vienna
继任 successor
继任 succession
都城 capitol
元帅 marshal
颈 neck
摩洛哥 morocco
颌 jaw
奖章 medal
奖章 medallion
奖章 medals
枫 maple
症状 symptoms
症状 symptom
兵库 hyogo
清除 clear
天桥 flyovers
天桥 flyover
天桥 overpass
蹄 hoof
神圣 sacred
神圣 holy
地表 surface
学位 degrees
学位 degree
光谱 spectral
光谱 spectra
光谱 spectrum
光谱 spectroscopy
景点 attractions
景点 sights
景点 attraction
流入 inflows
流入 inflow
适用 applicable
适用 apply
业余 amateurs
业余 amateur
鲨 shark
腹部 abdominal
腹部 abdomen
肯尼迪 kennedy
宽频 broadband
焕 hwan
致命 lethal
致命 deadly
致命 fatal
鱼雷 torpedo
鱼雷 torpedoes
模糊 fuzzy
模糊 blurred
模糊 ambiguous
模糊 blurry
模糊 blur
猿 apes
猿 ape
斯通 stone
盆 basin
极限 limit
极限 limits
极限 extreme
蜂 bee
续集 sequels
续集 sequel
碗 bowl
碗 bowls
拼 spell
稍后 later
级别 level
代表团 delegation
代表团 delegations
瑙 naw
看起来 looks
起诉 prosecutions
起诉 indictments
起诉 indictment
比分 score
挖 dig
挖 digging
集会 assemblies
集会 rallies
集会 rally
区分 differentiation
区分 distinction
区分 distinguishing
灿 chan
瑶 yao
瑶 mien
伤亡 casualties
伤亡 casualty
信心 faith
信心 confidence
信心 confident
法文 french
明天 tomorrow
集结 rally
场合 occasion
杖 rod
先锋 pioneer
先锋 vanguard
先锋 pioneers
动词 verb
动词 verbs
足利 ashikaga
体积 volume
体积 size
暗杀 assassination
暗杀 assassinations
喷射 jet
招收 intake
复仇 vengeance
复仇 revenge
燃烧 burn
燃烧 burning
感受 feel
感受 feeling
感受 feelings
射程 range
追溯 retroactive
追溯 retrospective
魅力 glamour
魅力 charisma
魅力 charm
茄 solanum
茄 eggplant
契丹 khitan
起义 uprising
起义 revolt
起义 intifada
兵团 regiment
厦门 xiamen
培训 training
大教堂 cathedral
联军 coalition
鳃 gill
鳃 gills
暴露 exposed
暴露 exposure
培养 upbringing
培养 nurturing
培养 grooming
消费者 consumer
消费者 consumers
生育 childbirth
生育 procreation
生育 fertility
云端 cloud
尸体 body
寸 inch
时刻 moments
时刻 moment
虾 shrimps
虾 shrimp
专利 patent
专利 patents
田径 athletics
矛 spear
追踪 track
追踪 tracing
追踪 tracking
售票 ticket
售票 ticketing
区别 distinction
区别 difference
搞笑 funny
搞笑 ig
搞笑 hilarious
三部曲 trilogy
村落 village
发言人 spokesperson
发言人 spokesman
葡萄酒 wine
音乐剧 musical
朴 park
半径 radius
六个 six
标签 labels
标签 tag
标签 tab
标签 tags
标签 label
放大 zoom
肝 liver
日间 daytime
传记 biographies
传记 biography
失望 disappointing
失望 disappointed
失望 disappointment
瑾 jane
勉 mian
雅克 jacques
安迪 andy
办公 office
属性 attribute
属性 property
属性 properties
属性 attributes
种植 planting
种植 cultivation
氢 hydrogen
数百 hundreds
丰田 toyota
名誉 honour
名誉 honorary
名誉 reputation
名誉 honor
光子 mitsuko
光子 photon
特点 characteristics
特点 features
特点 characteristic
磷 phosphorus
品种 breeds
品种 breed
品种 varieties
书记 clerks
书记 clerk
玛莉 mary
霜 frost
霜 cream
海豚 dolphin
海豚 dolphins
紫色 purple
电流 current
特快 express
遥 haruka
正统 orthodoxy
正统 orthodox
国外 overseas
国外 abroad
千克 kilograms
千克 kg
千克 kilogram
千克 kilo
密码 code
密码 password
密码 passwords
帽子 hats
帽子 hat
普查 census
普查 censuses
中西 midwest
腺 gland
腺 glands
海军陆战队 marines
歌剧 opera
歌剧 operas
焦点 focus
冬天 winter
纪元 epoch
幸运 lucky
里斯本 lisbon
霍尔 hall
资本 capital
干部 cadres
干部 cadre
拓展 expansion
拓展 expand
团结 unity
团结 solidarity
三级 level
魔鬼 devil
奖励 rewards
奖励 bonus
奖励 incentives
奖励 awards
奖励 reward
合唱团 choir
合唱团 chorus
国防 defense
国防 defence
文书 instrument
文书 instruments
容许 permissible
容许 allow
意图 intention
意图 intent
意图 intentions
物件 object
物件 objects
背后 behind
背叛 betrayal
培育 nurturing
培育 breeding
培育 nurture
培育 cultivate
物流 logistics
味道 taste
味道 tastes
味道 smell
空降 airborne
潮流 tide
招募 recruitment
招募 recruiting
招募 recruit
欧阳 ouyang
对决 showdown
体验 experiences
体验 experience
禽 poultry
禽 fowl
河内 hanoi
总数 totals
装饰 decoration
装饰 decor
装饰 deco
装饰 decorating
装饰 decorations
婚礼 weddings
婚礼 wedding
术语 term
术语 terms
术语 terminology
接待 reception
倒塌 collapse
公理 axiom
公理 axiomatic
梅花 clubs
梅花 plum
改写 rewriting
改写 rewrite
明日 tomorrow
樱花 sakura
王牌 aces
王牌 ace
爪哇 java
缩短 shorter
缩短 shortened
缩短 shorten
缩短 shortening
上限 ceiling
上限 cap
上限 limit
星期二 tuesday
研究者 researcher
研究者 researchers
合格 qualified
水果 fruit
水果 fruits
补给 recharge
补给 resupply
指标 indicators
指标 metrics
指标 indicator
彻底 thorough
句子 sentences
句子 sentence
面包 bread
商务 commerce
商务 biz
商务 business
议长 speaker
使徒 apostles
使徒 apostle
使徒 apostolic
圣母 madonna
巴拉圭 paraguay
过往 past
教导 teachings
可爱 cute
可爱 lovely
可爱 cutie
可爱 adorable
兔子 bunny
兔子 rabbit
超新星 supernova
大洋洲 ofc
大洋洲 oceania
封建 feudal
较小 smaller
针 needles
针 needle
丈 joe
蝙蝠 bat
褐 brown
绫 aya
或许 perhaps
或许 maybe
煤炭 coal
真空 vacuum
斗士 fighters
斗士 fighter
星空 stars
减弱 weaken
聂 nip
聂 nie
牡丹 peony
蔬菜 vegetable
蔬菜 vegetables
蔬菜 veggies
索引 index
索引 indexing
索引 indexes
华丽 glam
华丽 magnificent
华丽 gorgeous
木材 wood
木材 lumber
木材 timber
唱歌 sing
唱歌 singing
正规 formal
模特 models
模特 modeling
放射性 radiation
放射性 radiological
放射性 radioactivity
放射性 radioactive
候选 candidacies
候选 candidate
埋 bury
埋 buried
闪电 lightning
零件 parts
仪器 instrumentation
仪器 apparatus
仪器 instrument
仪器 instruments
活塞 piston
活塞 pistons
抽象 abstract
抽象 abstraction
保健 healthcare
魔术 trick
魔术 magic
周一 monday
流动 flow
流动 mobility
中断 interrupt
中断 break
连线 connect
电压 voltage
奇迹 miracles
奇迹 miracle
煮 cook
煮 cooking
煮 boil
专属 exclusive
相机 camera
相机 cameras
土著 indigenous
进化 evolve
进化 evolution
进化 evolutionary
进化 evolved
家乡 hometown
圣诞 christmas
明亮 bright
幼稚园 kindergarten
幼稚园 kindergartens
起草 drafting
巡航 cruises
巡航 cruising
巡航 cruise
巧克力 chocolate
熊本 kumamoto
将来 future
无敌 invincible
无敌 unbeatable
雷诺 reno
体操 calisthenics
体操 gymnastics
瞳 hitomi
庙宇 temples
欠 owe
讲座 lectures
讲座 lecture
照明 illumination
照明 lighting
行销 marketing
外籍 expatriate
外籍 foreign
海地 haiti
查询 query
查询 enquiries
查询 inquiry
查询 inquiries
查询 queries
语音 voice
语音 speech
甲板 decks
甲板 deck
墓葬 tombs
染色 staining
染色 stain
染色 dyed
染色 dye
派系 factions
派系 factional
派系 faction
话题 topic
镑 pound
行业 industries
行业 industry
行业 trades
孤立 isolation
孤立 isolate
孤立 isolated
词汇 glossary
词汇 vocabulary
售出 sold
饭 rice
饭 meal
危害 harm
危害 hazards
危害 hazard
拨 dial
肖像 portrait
肖像 portraits
愤怒 anger
愤怒 angry
愤怒 rage
旗帜 banner
旗帜 flag
旗帜 flags
巡洋舰 cruisers
巡洋舰 cruiser
间接 indirect
间接 indirectly
长崎 nagasaki
负面 negative
适应 adapting
适应 adaptation
适应 adapt
关心 caring
关心 care
早晨 morning
神学 theology
诉讼 litigation
诉讼 lawsuits
诉讼 lawsuit
水道 aqueduct
水道 waterway
水道 waterways
水道 watercourse
水道 watercourses
餐 meal
餐 meals
现代化 modernizing
现代化 modernization
现代化 modern
现代化 modernize
现代化 modernisation
后裔 descendant
后裔 descendants
累计 accumulated
累计 cumulative
堪萨斯州 kansas
桦 birch
旅程 journey
公墓 cemeteries
公墓 cemetery
相互作用 interaction
相互作用 interactions
船舶 ship
船舶 ships
汉堡 burger
汉堡 hamburg
婴儿 baby
婴儿 infant
婴儿 babies
帆船 sailboat
帆船 sailing
毁灭 destroy
毁灭 destruction
客栈 tavern
客栈 inn
客栈 hostel
读书 reading
裘 qiu
勇敢 brave
中西部 midwest
选票 votes
选票 ballot
选票 ballots
入场 entrance
科目 subjects
周末 weekends
周末 weekend
董事会 board
时常 often
中兴 zte
赫尔 hull
接力 relay
水库 dam
水库 reservoirs
水库 reservoir
收益 revenue
收益 earnings
收益 proceeds
随机 random
拉夫 luv
新兴 emerging
投诉 complaints
投诉 complaint
璧 bik
小队 squad
上田 ueda
认知 cognitive
博览会 exposition
博览会 expo
占据 occupy
见习 trainee
准确 accurate
山顶 hilltop
山顶 peak
制造商 manufacturers
制造商 manufacturer
陆地 terrestrial
陆地 land
金钱 money
主人公 protagonist
海德堡 heidelberg
亮度 lightness
亮度 brightness
提早 early
会计 accounting
会计 accountant
会计 accountancy
袜 socks
派对 party
灌溉 irrigation
灌溉 irrigate
高丽 koryo
国土 homeland
导师 tutor
导师 mentor
导师 mentors
包装 package
包装 wrapping
包装 packaging
包装 packing
包装 wrap
应付 coping
义务 obligations
义务 obligation
烟 cigarette
烟 smoke
烟 cigarettes
钻 drilling
钻 drill
情景 scenarios
情景 scenario
海口 haikou
想像 imagination
想像 imagine
传输 transmission
揭露 reveal
揭露 expose
揭露 uncover
树林 woods
节奏 tempo
节奏 rhythm
醉 drunken
醉 drunk
阵容 lineup
民俗 folk
民俗 folklore
多媒体 multimedia
中毒 poisoning
中毒 poisoned
瞬间 moments
瞬间 instant
阿曼 oman
阿曼 aman
阿曼 amman
物资 materiel
邮政 post
邮政 postal
解析 parse
解析 analytic
解析 parsing
秋田 akita
绘制 draw
绘制 draws
侦测 detection
侦测 detect
差别 difference
筹备 preparation
筹备 preparations
奖牌 medal
奖牌 medals
大田 ota
大田 daejeon
新娘 bride
麻烦 trouble
疏散 evacuate
疏散 evacuation
纵 longitudinal
隼 falcon
化身 incarnation
化身 avatar
欣赏 appreciating
欣赏 appreciate
欣赏 admiring
出版物 publications
出版物 publication
表彰 commendation
表彰 recognition
鼓手 drummer
安哥拉 angola
陶瓷 ceramic
陶瓷 ceramics
抵制 resist
抵制 boycotts
抵制 resistance
抵制 boycott
容器 container
容器 containers
相应 corresponding
芙蓉 flo
哺乳 breastfeeding
哺乳 nursing
哺乳 lactation
目的地 destination
目的地 destinations
咒 spell
咒 curse
滑冰 skating
滑冰 skate
大岛 oshima
和解 reconciliation
手持 handheld
白俄罗斯 belarus
底下 bottom
成份 ingredient
成份 ingredients
入学 admission
入学 enrolment
入学 enrollment
詹姆士 james
询问 queries
询问 query
询问 inquiries
敢 dare
泪 tear
泪 tears
别名 alias
别名 aliases
钓鱼 fishing
削弱 weakened
削弱 weakening
削弱 weaken
披露 disclosure
披露 disclosures
识别 identification
自行车 cycling
自行车 bike
自行车 bicycle
巡演 touring
细节 details
细节 detail
石碑 stele
赔偿 reparation
赔偿 compensation
赔偿 reparations
滑雪 ski
滑雪 skiing
常数 constant
常数 constants
摩托 motorcycle
摩托 moto
家用 household
家用 domestic
罪犯 criminal
罪犯 criminals
罪犯 offender
富裕 wealthy
导弹 missiles
导弹 missile
协商 consultation
协商 consultations
电梯 lift
电梯 elevator
操纵 manipulate
操纵 manipulation
非正式 unofficial
非正式 unofficially
非正式 informally
蛾 moth
困 sleepy
王妃 princess
不当 improper
不当 inappropriate
浏览器 browsers
浏览器 browser
心情 reactions
心情 mood
不丹 bhutan
沙皇 tsar
弧 arc
帅 handsome
武汉 wuhan
语法 grammar
语法 syntax
橄榄球 football
橄榄球 rugby
罐 jars
罐 jar
星际 interstellar
流放 exile
流放 exiled
流放 banishment
农场 farm
农场 farms
宝石 gems
宝石 jewel
宝石 gem
拿破仑 napoleon
存活 survival
炮塔 turret
宣誓 sworn
宣誓 oath
生理 physiological
生理 physiology
白垩纪 cretaceous
丹尼尔 daniel
现金 cash
咬 bite
火炬 torch
低音 bass
八卦 gossip
劝 persuasion
车道 lane
车道 driveway
跳水 diving
跳水 dive
格斗 fighting
巨型 giant
安葬 interment
增援 reinforcements
增援 reinforcement
头发 hair
和尚 monk
和尚 monks
整修 renovations
整修 renovation
整修 refurbishment
罕见 rare
家长 parents
家长 parent
集团军 army
司长 director
玉米 corn
约瑟夫 joseph
核定 approved
西门 simon
泵 pump
泵 pumps
长江 yangtze
辩论 debate
辩论 debating
辩论 debates
巡回 roving
讨厌 hate
剩余 residual
剩余 remaining
剩余 surplus
搭档 partner
夜晚 nights
夜晚 night
法师 mage
天河 tianhe
补助 subsidy
补助 subsidies
转型 transition
转型 transformation
负担 burdens
负担 burden
信托 trust
信托 trusts
关联 correlation
跃 leap
不便 inconvenient
不便 inconvenience
作物 crops
作物 crop
检察官 prosecutors
检察官 prosecutor
桌面 desktops
桌面 desktop
歧视 discrimination
歧视 discriminatory
芽 buds
芽 bud
跳舞 dance
跳舞 dancing
疫苗 vaccines
疫苗 vaccine
干扰 jamming
干扰 interference
精度 precision
精度 accuracy
讲师 lecturer
讲师 lecturers
讲师 docent
恭喜 congratulations
恭喜 congrats
终点站 terminal
粘 sticky
酒精 alcohol
伞 umbrella
法规 statute
儒家 confucianism
儒家 confucian
追击 pursuit
单车 cycling
单车 bike
单车 bicycle
景观 landscapes
景观 landscape
本田 honda
控制器 controller
推力 thrust
限量 limited
牺牲 sacrifices
牺牲 sacrifice
实质 essence
实质 substance
公约 conventions
午夜 midnight
塑料 plastics
塑料 plastic
哭 cry
哭 crying
参议员 senator
一月 january
汽油 petrol
汽油 gas
汽油 gasoline
地主 landowners
地主 landlord
臀 hip
臀 hips
难民 refugee
难民 refugees
科威特 kuwait
荔枝 lychee
报名 enroll
毒品 drugs
衰落 decline
衰落 declining
贼 thieves
贼 thief
兴起 emergence
中尉 lieutenant
禅 zen
争论 arguing
争论 argue
争论 controversy
争论 argument
争论 arguments
商标 trademark
商标 trademarks
辅导 counselling
辅导 coaching
辅导 mentoring
辅导 counseling
辅导 tutoring
转变 transformation
转变 transform
公吨 tonne
公吨 tonnes
鳅 cobitis
实践 practice
天鹅 swans
天鹅 swan
喝 drink
受损 damaged
梦幻 dream
梦幻 dreamy
音效 sound
坛 altar
教派 sect
教派 sects
囚禁 imprisonment
囚禁 incarceration
囚禁 imprisoned
染 dye
染 dyed
始祖 patriarchs
实用 practical
实用 practicality
实用 useful
实用 utility
水星 mercury
上野 ueno
落后 backward
刚果 congo
丧失 loss
注射 injections
注射 injection
注射 inject
地底 underground
传递 relay
曙光 twilight
曙光 dawning
研究员 researcher
研究员 fellows
心灵 mind
头颅 skull
遗迹 relic
遗迹 remnant
遗迹 relics
遗迹 ruins
鹦鹉 parrots
鹦鹉 parakeet
鹦鹉 parrot
约会 date
约会 dating
紧张 nervous
光束 beam
光束 beams
澄清 clarifying
澄清 clarification
坏 bad
满意 satisfaction
满意 satisfied
合计 aggregate
合计 aggregation
合计 aggregated
囚犯 prisoner
囚犯 prisoners
底盘 chassis
便宜 cheap
便宜 cheaper
第五次 fifth
影子 shadows
影子 shadow
缓慢 slow
产量 yield
产量 production
产量 yields
报章 newspaper
报章 newspapers
死神 death
死神 shinigami
大海 sea
紧 tight
自卫队 sdf
广义 wider
广义 broad
广义 generalized
广义 broader
摘要 abstract
摘要 summaries
赞 liked
赞 like
赞 likes
检验 testing
麒麟 kirin
椿 tsubaki
悬挂 hoisted
多重 multiple
火灾 fire
火灾 fires
尺度 scales
环绕 surround
戟 euphorbia
巴巴 baba
复出 comeback
客人 guest
客人 guests
精确 precise
精确 accurate
精确 exact
精确 precision
拘留 detention
拘留 detentions
护理 caregiving
护理 nursing
护理 care
成像 imaging
讽刺 ironic
讽刺 sarcasm
讽刺 irony
地板 floors
地板 flooring
地板 floor
斗争 struggle
检测 detection
冰岛 iceland
排放 emission
排放 emissions
牛奶 milk
原生 native
交响曲 symphony
弯 bend
弯 bent
梳 comb
制片人 producers
制片人 producer
棕色 brown
臧 zang
受邀 invited
氏族 clan
氏族 clans
稍微 slightly
醛 aldehyde
依赖 dependent
依赖 dependency
依赖 dependence
依赖 reliance
共振 resonant
共振 resonance
战时 wartime
缅 burma
硫酸 sulfate
手指 finger
手指 fingers
投影 projection
龚 gong
署长 administrator
论述 discourses
面具 mask
面具 masks
雷射 laser
洛阳 luoyang
效能 effectiveness
皇冠 crown
统治者 rulers
统治者 ruler
豪华 deluxe
豪华 luxury
豪华 luxurious
认真 serious
认真 seriously
签证 visas
签证 visa
全能 almighty
岭南 lingnan
就业 employment
电动 electric
恋人 lovers
小野 ono
指派 assignment
指派 assigned
指派 assignments
指派 assigning
指派 assign
毒性 toxic
毒性 toxicity
赌 gambling
赌 bet
太太 mrs
翅膀 wings
刷 brush
宽度 width
宽度 breadth
字典 dictionaries
字典 dictionary
激素 hormone
激素 hormones
盟友 allies
盟友 ally
墨尔本 melbourne
桶 barrels
桶 barrel
桶 bucket
桶 buckets
对立 opposing
对立 antagonism
对立 rivalry
对立 confrontation
对立 opposites
男生 boys
恶化 worsening
网址 url
网址 urls
键盘 keyboards
键盘 keyboard
奴隶 slave
休闲 recreation
休闲 casual
休闲 leisure
犯人 prisoner
犯人 prisoners
同伴 companion
压缩 compress
压缩 compression
压缩 compressed
果实 fruit
果实 fruits
各州 counties
各州 cantons
寿命 longevity
缺席 absent
缺席 absence
缺席 absentee
基辅 kiev
七个 seven
绑架 abduction
绑架 kidnapping
反叛 insurgency
反叛 rebel
反叛 rebellion
西班牙语 spanish
修理 repair
修理 repairs
丹佛 denver
近海 inshore
近海 offshore
阿部 abe
衰退 recession
玻利维亚 bolivia
坠毁 crash
服饰 apparel
服饰 wardrobe
服饰 attire
湖人 lakers
恐惧 fear
数千 thousands
徽章 badge
徽章 badges
暴动 riots
暴动 riot
排版 layout
浸 dip
满洲 manchuria
及时 timely
浏览 browse
浏览 viewing
浏览 browsing
浏览 view
姊姊 sis
姊姊 sister
核武器 nukes
山崎 yamazaki
哈萨克 kazakhstan
贷款 loan
贷款 loans
关卡 checkpoint
关卡 levels
关卡 level
黑山 montenegro
常规 routine
创业 startup
创业 entrepreneurship
开心 happy
毕业生 graduates
毕业生 graduate
高潮 orgasm
高潮 climax
宇文 yuwen
骨骼 bones
骨骼 skeletal
骨骼 skeleton
骨骼 bone
孔雀 peacock
特工 agent
跟著 follow
汞 mercury
汞 hg
预设 default
预设 defaults
雷霆 thunder
趋势 trend
后代 descendant
后代 offspring
后代 descendants
变动 changes
时光 time
湘潭 xiangtan
决策 policymaking
保卫 defend
烂 rotten
鞍 saddle
北极 arctic
变换 transformations
变换 transform
变换 transformation
年纪 age
花费 spending
花费 spent
花费 spend
花费 spends
岐阜 gifu
戈尔 gore
瓦特 watt
瓦特 watts
聊天 chats
聊天 chat
桥本 hashimoto
漂亮 beautiful
漂亮 pretty
欢 huan
灾难 disaster
灾难 catastrophe
灾难 disasters
与此同时 meanwhile
三角洲 delta
媒介 media
媒介 medium
民事 civil
叔叔 uncle
棉花 cotton
外星人 alien
外星人 aliens
宫城 miyagi
邪恶 evil
邪恶 wicked
趾 toe
业界 industry
少校 major
困扰 troubled
困扰 haunt
预言 prophecies
预言 prophecy
谴责 condemnation
谴责 reprimand
谴责 condemn
石化 petrified
石化 petrochemical
温带 temperate
肺 lung
肺 lungs
制片 producer
广播电台 radio
乡镇 townships
合适 suitable
故乡 homeland
故乡 hometown
极端 extremes
极端 extreme
活力 dynamism
活力 vitality
假名 pseudonym
假名 kana
客观 objectivity
心理学 psychology
大气层 atmosphere
闵 min
斑点 spotted
斑点 spot
斑点 blob
斑点 spots
恨 hate
决斗 duel
支出 expenditures
支出 expenditure
支出 expenses
降水量 precipitation
提取 extraction
提取 extract
提取 extracting
善意 goodwill
革新 innovations
革新 innovate
革新 innovation
支撑 strut
傍晚 evening
柔道 judo
格局 pattern
格局 patterns
字幕 subtitle
字幕 subtitles
陵墓 mausoleum
社会学 sociological
社会学 sociology
幽灵 ghost
射线 rays
穹 dome
血统 lineage
血统 bloodline
血统 pedigree
血统 descent
否决 veto
玛丽亚 maria
乔治亚 georgia
手工 handmade
破裂 rupture
困境 predicament
困境 dilemma
涡轮 turbo
眼镜 glasses
版面 layout
浓度 concentrations
浓度 concentration
漏 leak
中性 neutrality
中性 neutral
天生 born
陪同 escort
家属 family
图形 graph
图形 graphic
图形 graphics
前端 frontend
老鼠 rat
流派 genre
流派 genres
海滨 waterfront
语言学 linguistics
微笑 smile
微笑 smiling
石头 stone
石头 rock
审议 consideration
审议 deliberation
魔力 magic
历史学家 historian
历史学家 historians
有机 organic
泰坦 titan
金字塔 pyramid
金字塔 pyramids
橙色 orange
启 kai
皇太子 dauphin
饮料 beverage
饮料 drinks
名次 ranking
向外 outward
几何 geometry
几何 geometric
曲线 curve
曲线 curves
延迟 delay
延迟 delays
延迟 delayed
条纹 stripes
条纹 stripe
揭幕 unveiling
署名 attribution
署名 signed
海滩 beach
海滩 beaches
研讨会 seminars
研讨会 workshop
研讨会 seminar
马匹 horses
马匹 horse
打点 rbi
露西 lucy
引爆 detonate
引爆 detonation
鼬 weasel
硬体 hardware
说服 convincing
说服 convince
说服 persuade
月光 moonlight
莺 warbler
官邸 residences
厚度 thickness
娃娃 dolls
娃娃 doll
专注 focus
住户 household
住户 households
住户 tenants
实习 internship
实习 intern
实习 internships
毗邻 adjoining
毗邻 adjacent
同情 compassion
同情 sympathy
秋天 autumn
秋天 fall
耶和华 jehovah
教科书 textbooks
教科书 schoolbooks
教科书 textbook
怀孕 pregnancy
怀孕 pregnant
逃离 escape
细菌 bacteria
细菌 germs
发掘 excavation
爬行 crawl
爬行 creeping
爬行 crawling
立体 stereo
倾斜 tilt
倾斜 tilted
倾斜 slant
八个 eight
最爱 favorite
犹太 jewish
犹太 jews
莲花 lotus
顾客 customer
顾客 customers
冕 coronal
冕 corona
人质 hostage
人质 hostages
拍卖 auction
拍卖 auctioning
拍卖 auctions
比重 proportion
驾驶员 driver
驾驶员 pilot
聚合 aggregation
稀有 rare
普尔 poole
炸 blow
炸 fried
上次 last
公牛 bulls
公牛 bull
诊断 diagnoses
诊断 diagnostics
诊断 diagnosis
诊断 diagnostic
信件 letters
信件 messages
信件 letter
信件 mail
信件 message
掷 toss
掷 throw
近日 recently
主机 host
主机 mainframe
主机 hosts
主机 hosting
蛋白质 protein
蛋白质 proteins
世俗 mundane
世俗 secular
世俗 worldly
录音室 studio
罢工 strike
罢工 strikes
屋顶 roof
阴谋 plot
阴谋 conspiracy
偏向 biased
偏向 bias
新星 nova
乌拉圭 uruguay
番茄 tomato
番茄 tomatoes
夏日 summer
夏日 summertime
章程 statute
白天 day
间谍 spy
间谍 spies
粮食 food
粮食 grain
微生物 microorganisms
微生物 microbial
付费 pay
付费 paid
强迫 forced
强迫 compulsion
强迫 coercion
文法 grammar
俘虏 prisoner
俘虏 captive
岁月 years
僵尸 zombie
护士 nurse
立体声 stereo
海关 customs
假定 assumed
假定 assumptions
假定 assumption
假定 presumed
波罗 baltic
裙 dress
裙 skirt
菩萨 bodhisattva
菩萨 buddha
竞技场 arena
珊瑚礁 reefs
珊瑚礁 reef
立方 cube
立方 cubic
无线电 radio
麻省理工 mit
爬 climb
爬 crawl
捐赠 donation
捐赠 donate
捐赠 donations
搬迁 evictions
搬迁 relocation
伴奏 accompaniment
鳉 pupfish
连胜 streak
平时 usual
核准 approvals
核准 approval
核准 approve
核准 approved
中野 nakano
脂肪 fat
尊敬 respect
